date,rainfall,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation,tithi_index,nakshatra_index,yoga_index,karana_index,vara_index,moon_phase_angle,moon_distance_km,sun_lon,moon_lon,hour,day,month,dayofweek,hour_sin,hour_cos,month_sin,month_cos,is_monsoon,is_summer,is_winter,rain_lag_1,rain_lag_3,rain_lag_6,rain_lag_12,rain_lag_24,rain_sum_6,rain_sum_12,rain_sum_24,rain_diff,temp_humidity,temp_dewpoint,humidity_pressure,pressure_change,temp_roll_6,humidity_roll_6,pressure_roll_6,moon_phase_sin,moon_phase_cos,sun_moon_angle
1940-01-01,0.0,23.304166666666664,73.04166666666667,17.991666666666667,24.116666666666664,1012.8625,0.3,21,11,3,0,1,254.82377187482305,369037.4562288071,257.1489371244569,151.9723427657689,0,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1702.175173611111,5.3124999999999964,73981.16510416666,-0.9708333333331893,23.288194444444443,72.65972222222223,1011.1618055555556,-0.9651251930410805,-0.2617887731691663,105.17659435868799
1940-01-02,0.0,23.245833333333334,70.66666666666667,17.3625,24.10833333333333,1011.8916666666668,0.2,22,12,4,2,2,267.90455641490314,371553.8386480453,258.16841575136044,166.0727665387796,0,2,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1642.7055555555557,5.883333333333333,71507.01111111112,-0.9708333333331893,23.288194444444443,72.65972222222223,1011.1618055555556,-0.9993313046892015,-0.0365642375577338,92.09564921258084
1940-01-03,0.0,23.308333333333334,73.08333333333333,17.904166666666665,24.195833333333336,1011.7083333333334,0.1,23,13,5,4,3,280.7637604583519,374428.2839189674,259.1879903909422,179.95170854026824,0,3,1,2,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1703.4506944444443,5.404166666666669,73939.01736111111,-0.18333333333339397,23.288194444444443,72.65972222222223,1011.1618055555556,-0.9824055727904136,0.18675998112641626,79.23628185067398
1940-01-04,0.0,23.27916666666667,76.04166666666667,18.5125,24.5375,1010.3291666666668,0.6000000000000001,24,14,7,6,4,293.4092208314673,377508.3168086107,260.2076471926146,193.61695473159432,0,4,1,3,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1770.1866319444448,4.766666666666669,76827.1137152778,-1.379166666666606,23.288194444444443,72.65972222222223,1011.1618055555556,-0.9176906992529119,0.3972955832937255,66.5906924610203
1940-01-05,2.3063435554504395,23.291666666666668,73.54166666666667,18.10833333333333,24.34166666666667,1010.2458333333334,0.7000000000000001,25,15,8,1,5,305.85626676677214,380701.3217257946,261.22736813372313,207.0837895993167,0,5,1,4,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,2.3063435554504395,1712.9079861111113,5.183333333333337,74295.1623263889,-0.08333333333337123,23.288194444444443,72.65972222222223,1011.1618055555556,-0.8104889759515982,0.5857538901799371,54.14357853440643
1940-01-06,0.0,23.3,69.58333333333333,17.025000000000002,24.1375,1009.9333333333334,0.0,26,16,9,4,6,318.1188817627133,383962.0071449893,262.2471317708817,220.3661633016277,0,6,1,5,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,2.3063435554504395,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,-2.3063435554504395,1621.2916666666665,6.274999999999999,70274.52777777778,-0.3125,23.288194444444443,72.65972222222223,1011.1618055555556,-0.6675872321392415,0.7445315893128152,41.880968469254015
1940-01-07,0.0,23.366666666666664,72.375,17.604166666666668,24.775,1010.0916666666668,0.0,27,17,10,6,0,330.2043183718023,387269.0855704538,263.2669140601283,233.47130838578224,0,7,1,6,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1691.1624999999997,5.762499999999996,73105.38437500001,0.1583333333334167,23.298611111111114,72.5486111111111,1010.7000000000002,-0.49690855630194736,0.867802907735342,29.795605674346035
1940-01-08,0.0,22.066666666666663,74.91666666666667,16.758333333333333,23.575,1009.4541666666668,0.0,28,18,11,8,1,342.1116984198075,390598.32408635534,264.28668920368824,246.39833876194,0,8,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,2.3063435554504395,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1653.161111111111,5.30833333333333,75624.94131944445,-0.6375000000000455,23.102083333333336,73.25694444444444,1010.2937500000002,-0.30716231870995325,0.9516571388713085,17.88835044174823
1940-01-09,0.0,22.495833333333334,76.45833333333333,17.425,24.5125,1008.6458333333334,0.0,29,19,12,9,2,353.8342582397199,393898.7160957701,265.306430487726,259.14049105729885,0,9,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1719.993923611111,5.070833333333333,77119.37934027778,-0.808333333333394,22.966666666666665,73.81944444444444,1009.7833333333333,-0.10740491460735226,0.9942153611356985,6.165939430427159
1940-01-10,0.0,22.616666666666664,76.70833333333333,17.870833333333334,24.433333333333334,1008.8208333333332,0.2,0,20,13,0,3,5.364193304501813,397076.9309745452,266.3261110675008,271.6899638070684,0,10,1,2,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0.0,0.0,0.0,0.0,0.0,2.3063435554504395,2.3063435554504395,2.3063435554504395,0.0,1734.8868055555552,4.74583333333333,77384.96475694444,0.17499999999984084,22.85625,73.93055555555556,1009.5319444444444,0.09348612377786801,0.995620582682474,5.363852739567619
